date,rbc,platelets,plasma
2024-03-24,17.0,5.0,15.0
2024-03-25,17.0,15.0,15.0
2024-03-26,12.0,9.0,11.0
2024-03-27,12.0,16.0,15.0
2024-03-28,10.0,7.0,11.0
2024-03-29,14.0,5.0,10.0
2024-03-30,12.0,3.0,6.0
2024-03-31,10.0,8.0,8.0
2024-04-01,18.0,14.0,17.0
2024-04-02,16.0,15.0,13.0
2024-04-03,18.0,16.0,8.0
2024-04-04,17.0,17.0,12.0
2024-04-05,21.0,17.0,16.0
2024-04-06,7.0,10.0,12.0
2024-04-07,6.0,12.0,14.0
2024-04-08,25.0,18.0,9.0
2024-04-09,14.0,6.0,24.0
2024-04-10,12.0,17.0,21.0
2024-04-11,21.0,7.0,20.0
2024-04-12,17.0,6.0,16.0
2024-04-13,8.0,5.0,14.0
2024-04-14,6.0,7.0,14.0
2024-04-15,12.0,5.0,18.0
2024-04-16,14.0,14.0,23.0
2024-04-17,24.0,12.0,24.0
2024-04-18,23.0,17.0,11.0
2024-04-19,12.0,14.0,8.0
2024-04-20,6.0,9.0,10.0
2024-04-21,9.0,9.0,16.0
2024-04-22,23.0,18.0,10.0
2024-04-23,16.0,6.0,22.0
2024-04-24,18.0,7.0,22.0
2024-04-25,24.0,13.0,21.0
2024-04-26,24.0,11.0,21.0
2024-04-27,12.0,5.0,6.0
2024-04-28,14.0,9.0,13.0
2024-04-29,28.0,9.0,21.0
2024-04-30,16.0,6.0,14.0
2024-05-01,26.0,17.0,10.0
2024-05-02,29.0,15.0,22.0
2024-05-03,13.0,17.0,21.0
2024-05-04,9.0,8.0,12.0
2024-05-05,10.0,5.0,14.0
2024-05-06,22.0,13.0,20.0
2024-05-07,24.0,9.0,13.0
2024-05-08,20.0,17.0,10.0
2024-05-09,13.0,13.0,22.0
2024-05-10,22.0,8.0,12.0
2024-05-11,10.0,9.0,11.0
2024-05-12,18.0,6.0,9.0
2024-05-13,11.0,13.0,24.0
2024-05-14,19.0,12.0,14.0
2024-05-15,22.0,7.0,19.0
2024-05-16,15.0,5.0,24.0
2024-05-17,21.0,7.0,20.0
2024-05-18,14.0,5.0,7.0
2024-05-19,19.0,4.0,11.0
2024-05-20,20.0,5.0,10.0
2024-05-21,16.0,11.0,16.0
2024-05-22,10.0,12.0,20.0
2024-05-23,10.0,11.0,22.0
2024-05-24,29.0,18.0,11.0
2024-05-25,14.0,6.0,14.0
2024-05-26,12.0,10.0,6.0
2024-05-27,12.0,5.0,22.0
2024-05-28,16.0,11.0,15.0
2024-05-29,15.0,17.0,15.0
2024-05-30,17.0,11.0,24.0
2024-05-31,18.0,13.0,19.0
2024-06-01,11.0,5.0,13.0
2024-06-02,8.0,10.0,12.0
2024-06-03,34.0,22.0,14.0
2024-06-04,23.0,6.0,16.0
2024-06-05,25.0,6.0,11.0
2024-06-06,29.0,22.0,24.0
2024-06-07,22.0,10.0,16.0
2024-06-08,23.0,10.0,9.0
2024-06-09,20.0,8.0,6.0
2024-06-10,31.0,20.0,16.0
2024-06-11,35.0,18.0,16.0
2024-06-12,25.0,8.0,28.0
2024-06-13,19.0,6.0,13.0
2024-06-14,13.0,10.0,22.0
2024-06-15,9.0,12.0,12.0
2024-06-16,20.0,13.0,8.0
2024-06-17,17.0,16.0,18.0
2024-06-18,31.0,8.0,14.0
2024-06-19,31.0,19.0,13.0
2024-06-20,31.0,16.0,16.0
2024-06-21,13.0,13.0,11.0
2024-06-22,9.0,12.0,14.0
2024-06-23,11.0,14.0,9.0
2024-06-24,12.0,23.0,26.0
2024-06-25,12.0,10.0,16.0
2024-06-26,34.0,8.0,29.0
2024-06-27,13.0,17.0,16.0
2024-06-28,25.0,23.0,11.0
2024-06-29,12.0,7.0,17.0
2024-06-30,10.0,7.0,14.0
2024-07-01,24.0,8.0,18.0
2024-07-02,31.0,19.0,24.0
2024-07-03,18.0,16.0,23.0
2024-07-04,17.0,10.0,14.0
2024-07-05,35.0,18.0,16.0
2024-07-06,9.0,7.0,9.0
2024-07-07,12.0,6.0,6.0
2024-07-08,24.0,11.0,29.0
2024-07-09,30.0,13.0,23.0
2024-07-10,30.0,16.0,26.0
2024-07-11,12.0,13.0,10.0
2024-07-12,22.0,20.0,25.0
2024-07-13,12.0,7.0,10.0
2024-07-14,20.0,11.0,9.0
2024-07-15,14.0,17.0,22.0
2024-07-16,35.0,13.0,13.0
2024-07-17,16.0,22.0,24.0
2024-07-18,34.0,23.0,22.0
2024-07-19,14.0,17.0,12.0
2024-07-20,22.0,7.0,6.0
2024-07-21,23.0,5.0,10.0
2024-07-22,19.0,13.0,20.0
2024-07-23,35.0,20.0,14.0
2024-07-24,22.0,18.0,20.0
2024-07-25,12.0,18.0,23.0
2024-07-26,20.0,7.0,11.0
2024-07-27,12.0,15.0,16.0
2024-07-28,21.0,12.0,12.0
2024-07-29,20.0,16.0,11.0
2024-07-30,12.0,17.0,10.0
2024-07-31,24.0,17.0,14.0
2024-08-01,32.0,19.0,19.0
2024-08-02,23.0,6.0,29.0
2024-08-03,9.0,13.0,12.0
2024-08-04,12.0,8.0,14.0
2024-08-05,30.0,13.0,26.0
2024-08-06,30.0,22.0,16.0
2024-08-07,35.0,20.0,12.0
2024-08-08,31.0,14.0,29.0
2024-08-09,13.0,17.0,14.0
2024-08-10,8.0,10.0,15.0
2024-08-11,20.0,5.0,16.0
2024-08-12,25.0,18.0,22.0
2024-08-13,17.0,17.0,19.0
2024-08-14,17.0,7.0,11.0
2024-08-15,22.0,11.0,23.0
2024-08-16,22.0,20.0,12.0
2024-08-17,9.0,7.0,8.0
2024-08-18,22.0,8.0,6.0
2024-08-19,30.0,8.0,18.0
2024-08-20,30.0,14.0,18.0
2024-08-21,14.0,20.0,22.0
2024-08-22,35.0,6.0,19.0
2024-08-23,12.0,12.0,14.0
2024-08-24,23.0,6.0,16.0
2024-08-25,16.0,4.0,8.0
2024-08-26,31.0,23.0,14.0
2024-08-27,20.0,13.0,14.0
2024-08-28,16.0,16.0,25.0
2024-08-29,18.0,20.0,13.0
2024-08-30,20.0,10.0,24.0
2024-08-31,23.0,6.0,13.0
2024-09-01,9.0,8.0,12.0
2024-09-02,30.0,19.0,18.0
2024-09-03,14.0,23.0,17.0
2024-09-04,32.0,8.0,18.0
2024-09-05,28.0,20.0,25.0
2024-09-06,32.0,19.0,16.0
2024-09-07,9.0,8.0,6.0
2024-09-08,9.0,9.0,17.0
2024-09-09,30.0,18.0,10.0
2024-09-10,22.0,17.0,29.0
2024-09-11,16.0,17.0,10.0
2024-09-12,12.0,8.0,26.0
2024-09-13,16.0,13.0,11.0
2024-09-14,8.0,14.0,16.0
2024-09-15,18.0,5.0,12.0
2024-09-16,30.0,20.0,18.0
2024-09-17,35.0,20.0,17.0
2024-09-18,20.0,7.0,16.0
2024-09-19,19.0,19.0,16.0
2024-09-20,14.0,22.0,12.0
2024-09-21,20.0,11.0,11.0
2024-09-22,8.0,6.0,12.0
2024-09-23,30.0,19.0,20.0
2024-09-24,25.0,14.0,26.0
2024-09-25,34.0,20.0,26.0
2024-09-26,28.0,23.0,10.0
2024-09-27,18.0,16.0,17.0
2024-09-28,12.0,9.0,9.0
2024-09-29,17.0,4.0,10.0
2024-09-30,34.0,8.0,10.0
2024-10-01,17.0,17.0,12.0
2024-10-02,11.0,16.0,8.0
2024-10-03,10.0,18.0,11.0
2024-10-04,24.0,13.0,9.0
2024-10-05,6.0,12.0,11.0
2024-10-06,9.0,10.0,8.0
2024-10-07,25.0,5.0,17.0
2024-10-08,28.0,13.0,8.0
2024-10-09,13.0,12.0,13.0
2024-10-10,12.0,5.0,20.0
2024-10-11,26.0,10.0,22.0
2024-10-12,17.0,6.0,7.0
2024-10-13,14.0,6.0,13.0
2024-10-14,23.0,14.0,22.0
2024-10-15,15.0,16.0,15.0
2024-10-16,12.0,17.0,12.0
2024-10-17,18.0,17.0,22.0
2024-10-18,14.0,17.0,11.0
2024-10-19,17.0,12.0,12.0
2024-10-20,15.0,6.0,13.0
2024-10-21,12.0,10.0,9.0
2024-10-22,10.0,9.0,11.0
2024-10-23,29.0,15.0,11.0
2024-10-24,10.0,16.0,18.0
2024-10-25,12.0,9.0,12.0
2024-10-26,18.0,5.0,12.0
2024-10-27,12.0,5.0,11.0
2024-10-28,12.0,7.0,15.0
2024-10-29,17.0,8.0,13.0
2024-10-30,23.0,13.0,13.0
2024-10-31,27.0,6.0,15.0
2024-11-01,24.0,19.0,22.0
2024-11-02,7.0,8.0,14.0
2024-11-03,12.0,3.0,12.0
2024-11-04,11.0,18.0,19.0
2024-11-05,26.0,19.0,20.0
2024-11-06,17.0,19.0,15.0
2024-11-07,10.0,5.0,8.0
2024-11-08,18.0,9.0,22.0
2024-11-09,13.0,6.0,10.0
2024-11-10,16.0,6.0,12.0
2024-11-11,16.0,7.0,19.0
2024-11-12,19.0,11.0,19.0
2024-11-13,12.0,13.0,11.0
2024-11-14,27.0,15.0,23.0
2024-11-15,22.0,16.0,11.0
2024-11-16,10.0,9.0,8.0
2024-11-17,8.0,8.0,8.0
2024-11-18,22.0,10.0,15.0
2024-11-19,29.0,16.0,17.0
2024-11-20,10.0,12.0,24.0
2024-11-21,17.0,16.0,16.0
2024-11-22,23.0,9.0,21.0
2024-11-23,16.0,8.0,10.0
2024-11-24,15.0,9.0,10.0
2024-11-25,21.0,16.0,18.0
2024-11-26,28.0,8.0,8.0
2024-11-27,24.0,14.0,21.0
2024-11-28,11.0,12.0,12.0
2024-11-29,11.0,14.0,21.0
2024-11-30,18.0,10.0,7.0
2024-12-01,17.0,4.0,5.0
2024-12-02,29.0,16.0,15.0
2024-12-03,19.0,16.0,22.0
2024-12-04,15.0,9.0,22.0
2024-12-05,24.0,13.0,16.0
2024-12-06,20.0,8.0,16.0
2024-12-07,9.0,10.0,11.0
2024-12-08,6.0,6.0,10.0
2024-12-09,17.0,19.0,10.0
2024-12-10,21.0,5.0,18.0
2024-12-11,21.0,13.0,13.0
2024-12-12,14.0,5.0,9.0
2024-12-13,16.0,9.0,14.0
2024-12-14,8.0,5.0,6.0
2024-12-15,10.0,11.0,16.0
2024-12-16,22.0,16.0,18.0
2024-12-17,29.0,17.0,19.0
2024-12-18,24.0,17.0,14.0
2024-12-19,12.0,18.0,13.0
2024-12-20,17.0,7.0,8.0
2024-12-21,19.0,11.0,16.0
2024-12-22,16.0,6.0,12.0
2024-12-23,22.0,6.0,24.0
2024-12-24,27.0,7.0,14.0
2024-12-25,19.0,9.0,24.0
2024-12-26,28.0,19.0,16.0
2024-12-27,26.0,13.0,24.0
2024-12-28,18.0,4.0,10.0
2024-12-29,9.0,9.0,16.0
2024-12-30,18.0,12.0,14.0
